,Currency,time_period_start,price_open,price_high,price_low,price_close,volume_traded,trades_count
540,BNB,2018-01-18,9.99899998,11.0,9.20000012,10.8,3782.2808168,482.0
541,BNB,2018-01-19,10.00000106,10.8,9.2000001,10.00000006,2916.46613254,488.0
542,BNB,2018-01-20,9.60000045,10.399,4.5,8.91000009,3384.80548765,471.0
543,BNB,2018-01-21,8.91000009,9.83806839,8.59,9.78887728,58.32066963,34.0
544,BNB,2018-01-22,8.99400899,8.99400899,8.01000501,8.01000501,2.14777896,3.0
545,BNB,2018-01-23,8.96005009,8.9600501,7.0999998,8.13503943,717.81521669,184.0
546,BNB,2018-01-24,7.60000147,8.24998799,7.5101,7.84999979,176.98607262,86.0
547,BNB,2018-01-25,7.7000001,8.0,6.75111003,7.5707169,1032.40551169,305.0
548,BNB,2018-01-26,7.10465933,7.5,6.0,6.36300323,1036.20775302,257.0
549,BNB,2018-01-27,6.38999999,6.86990369,6.0,6.09999982,301.64497566,129.0
550,BNB,2018-01-28,6.10000108,6.86999954,5.758,5.758,345.81762329,145.0
551,BNB,2018-01-29,6.08424534,6.68952887,5.1,5.30000008,584.12276452,254.0
552,BNB,2018-01-30,5.33100002,7.5432211,3.0,4.3883956,1309.65034111,323.0
553,BNB,2018-01-31,4.65374387,7.34555958,4.08188342,6.27063697,729.96361422,260.0
554,BNB,2018-02-01,6.27063653,6.5,5.00555,5.02000026,378.78066882,92.0
555,BNB,2018-02-02,2.99110023,6.0,2.99110023,4.98999997,234.50654363,55.0
556,BNB,2018-02-03,4.10000525,5.5999999,4.10000525,4.47833928,623.71868582,176.0
557,BNB,2018-02-04,5.05296237,5.0809668,4.20000001,4.6766431,667.7722638,179.0
558,BNB,2018-02-05,4.69241821,4.9308395,4.36526361,4.36526361,18.35289188,14.0
559,BNB,2018-02-07,3.45540001,4.78592021,3.0,4.12,347.75887466,73.0
560,BNB,2018-02-08,4.41561341,4.88899976,4.0,4.88899976,381.08385378,113.0
561,BNB,2018-02-09,4.88899976,6.299,4.211,5.39509927,1334.63076139,301.0
562,BNB,2018-02-10,4.91000657,6.93070599,4.847104,5.00000051,1729.12317445,285.0
563,BNB,2018-02-11,5.14684751,6.89,4.222,5.0976599,966.15185302,204.0
564,BNB,2018-02-12,5.09765998,6.3,4.865992,5.28999999,1070.92100258,285.0
565,BNB,2018-02-13,5.2399995,5.2399995,4.51,4.98271595,1362.61828072,191.0
